	input
176	Kuba RwandaAir igiye gutangiza ingendo zazo muri Nigeria ngo ni ikintu gikomeye kuko muri Nigeria hari abagenzi benshi bakoresha indege.
177	Qatar Airways izatangira gukora ingendo zayo yerekeza i Kigali ari uko Ubugande buyemereye ko izajya ijya kugwa ku kibuga cya Entebe.
178	Wang Li si we mushinwa wenyine uvuga ko ashobora kuza gushaka isoko muri Afurika kuko e hari Abashinwa benshi batangiye kuzana ibicuruzwa byabo muri Afurika.
179	Mu ngendo zitandukanye izajya ikora Rwandair ntiyibagiwe abagana Lagos ndetse no mu bindi bihugu by’Afurika y’uburengerazuba berekeza Brazaville na Libreville kuko nabo muri iyo gahunda nshya bazibonamo.
180	Uyu mujyi benshi bakunze kuvuga ko ari umujyi udakunze guhindura isura yahoranye kuko ukigaragaramo inyubako zo ku ngoma ya gikoroni.
181	Aha rero ngo bakwiye kwikubita agashyi bityo bikabafasha no gukomeza kwitwara neza mu ruhando rw’amahanga.
182	Uyu muyobozi akomeza avuga ko bifuza ko ibyo bigo bikuru bitera imbere, ndetse ibigo bito n’ibiciritse bigakura bikaba ibigo bikagera ku rwego rwo hejuru.
183	Abo twaganiriye bavuga ko badakeneye guhomba nk’uko bahombejwe na za microfinance.
184	Ibi byavugiwe mu nama y’ihuriro ry’amashuri makuru na za kaminuza byigenga byo mu Rwanda ARIPES yabereye mu ishuri gatolika rya Kabgayi ICK tariki 25112012.
185	Iyo abantu bari hamwe si bo bonyine bigirira akamaro, n’akarere kabyungukiramo kandi no kubaha ubufasha bukenewe mu buyobozi birushaho kugenda neza.
186	Ramba ntiyasobanuye neza uwo musaruro mubi watanzwe n’abayobozi bakuru, ndetse n’intego bari barihaye kugeraho ntibazuzuze.
187	Ubu bwumvikane bucye hagati yabanyamuryango na komite nyobozi muri iyi koperative KOVEPO bwatangiye kugaragara mu nteko rusange yabaye tariki 30082012.
188	Yatangaje ko bitoroshye ko SACCO zakwitabira iryo shoramari kuko bakirwana n’ubushobozi bwo kwiyubaka, kuko hari n’izitarenza igishoro cya miliyoni 15.
189	Yasobanuye ko nk’uko byemejwe abanyamuryango ibihumbi bitandatu b’iyo banki bazajya bahabwa icya kabiri cy’inyungu ikindi kikaguma muri banki kigakomeza gukoreshwa mu iterambere rya banki.
190	Umuyobozi w’ikigo gishinzwe kugurisha imigabane, Robert Mathu, avuga ko kugura no kugurisha imigabane ku isoko bikorwa binyuze mu nzira z’amabanki hakaba hagomba ubufatanye kugira ngo akazi bakora kagende neza.
191	Urugero ni nko ku gasozi bita Ruramira aho ubuyobozi bw’Akagali ka Nyagatare bwatumikiraga abaturage bahatuye bibaza niba bagomba gusora kimwe n’abafite amazu mu mujyi wa Nyagatare.
192	Bigogwe, Mukamira na Jenda.
193	Umuyobozi w’akarere, Sheh Bahame Hassan, yavuze ko akarere kabwiye rwiyemezamirimo ko imodoka zikora iyo mihanda zitazasubirayo utugari tutazikoresheje ngo dusane uduhanda tujya mu ngo.
194	Urubyiruko rwigira Iwawa rukora ibikorwa bitandukanye, birimo ububaji, ubudozi, ubworozi bw’inzuki, ubuhinzi ndetse n’ubwubatsi.
195	Harerimana agira ati nk’umudugudu w’ikitegererezo, twashakiye abatishoboye uburyo babasha kwiteza imbere maze iterambere rikagendera rimwe ku batuye umudugudu bose.
196	Gatete arasaba ko abagenerwabikorwa abatishoboye ndetse n’ubuyobozi bw’akarere bukwiye kugira uruhare mu bikorwa byo kubateza imbere.
197	Uzamukunda avuga ko bakora ibi mu rwego rwo kubagarurira icyizere mu buzima.
198	Safari Patrick, umuhuzabikorwa w’ihuriro ry’abafatanyabikorwa JADF ku rwego rw’igihugu, yatangaje ko nk’abantu bafite uruhare mu iterambere ry’igihugu bafite inshingano yo kumvikanisha JADF n’intego zayo.
199	Mubyukuri ntacyo nakoze kidasanzwe uretse yuko umurongo wanjye wa telefoni wa MTN uhora kuri rezo MTN network.
200	Yagize ati N’ubwo uyu mwuga ubatunze ndetse ukaninjiriza igihugu muri rusange, umwuga w’ubucukuzi ukwiye kuba uw’abantu bakuze, abana bakajya ku ishuri.
201	MINICOM kandi irashinjwa gutanga amasoko mu buryo budasobanutse harimo n’aho yagiye asubirwamo kandi yari yaratanzwe.
202	Avuga ko aka gatabo kateguwe kugirango kabe igikoresho gifasha abaturage gusobanukirwa n’uburyo ingengo y’imari y’igihugu itegurwa, inakoreshwa kandi ikanagenzurwa.
203	ikurikiye African Export and Import Bank yo mu Misiri yaje ku mwanya wa mbere ifite amajwi 92.
204	Muri iyi raporo yashyizwe ahagaragara ku itariki ya kabiri uku kwezi, u Rwanda rwashyizwe ku mwanya w’i 166 mu bihugu 187 bigaragaza iterambere ry’abaturage ryiza mu bice byose.
205	Izi hene zizabafasha kwinjira mu buzima bushya kuko zizafasha abaturage kugira imibereho myiza harwanywa imirire mibi irimo na bwaki.
206	Ngo ubusanzwe iyo ageze mu bihugu bikennye atungukira ku mbwa zizerera, umwanda, abana basabiriza, abacururiza ku muhanda n’ibindi.
207	Ubuyobozi bw’akarere buvuga ko bwafashe iki cyemezo nyuma yo kubona ko akarere ka Ngororero gasa nakari karasigaye inyuma mu nyubako, by’umwihariko hakaba nta mazu acumbikira abantu aharangwa.
208	Ahandi harimo kuvugururwa ni ahahoze sitade ya Huye ubu harimo gusizwa neza ngo hazubakwe indi nziza.
209	Alex Nzahabwanimana yavuzeko ko aya mategeko azarengera uburenganzira bw’abagenzi.
210	Ati Sacco z’iyindi Mirenge zikwiye kwigira kuri iyi kugira ngo nazo zibashe kwiteza imbere ari nako ziteza imbere abazigana.
211	Ibikorwa byose byakozwe bikaba byarahawe agaciro kangana na 7,347,720,172 y’amafaranga y’u Rwanda nk’uko bigaragara muri rapport yashyizwe ahagaragara na MINALOC ku italiki ya mbere Nzeli 2011.
212	Kuva ubwo nibwo Chantal yicaye afata umwanya uhagije wo kwitekerezaho aza gusanga akunda imitako kandi yabasha no kuyikora, niko kubibwira Claire undi nawe aramwunganira nuko baratangira.
213	com rwamusuye, uyu musaza uri mu kigero cy’imyaka 50 y’amavuko yemeza ko mbere y’uko ahabwa inka yari umukene utagira icyo yakwifasha.
214	Gatete arasaba ko abagenerwabikorwa abatishoboye ndetse n’ubuyobozi bw’akarere bukwiye kugira uruhare mu bikorwa byo kubateza imbere.
215	Yasobanuriye abakiriya bari bahagarariye abandi muri ibyo biganiro ko umukiriya ari umwami muri BK kandi ufite umushinga akabagana bamufasha vuba ngo umushinga we udahomba ahubwo ubashe kumuteza imbere.
216	Minisitiri Francois Kanimba uyobora MINICOM na Damien Mugabo uyobora RCA ndetse n’abandi bakozi muri izo nzego zombi bafite amakoperative na SACCOs mu nshingano zabo barasubiza ibibazo bibazwa.
217	Imirenge SACCO zisabwe kwiyubakira inyubako nyuma igihe kitari kinini zimaze zikora ku buryo bamwe bavuga ko bafite impungenge zo kwiyubakira byazatera igihombo igihe bafashe ku mafaranga zibikije.
218	Iki kigo gifite ishingano zo gutanga service z’imari ku bakiriya bayo kugira ngo biteze imbere kandi barusheho kugira imibereho myiza byumwihariko bafasha umugore w’umunyarwandakazi w’amikoro macye kwiteza imbere.
219	Avuga ko hagomba gufatwa ingamba zikomeye zo guhangana n’abashaka guhemukira bagenzi babo bagasangiye inyungu.
220	Legacy XP yanigishije abaturage bo mu mujyi wa Nyanza uko bashobora gukoresha ibyuma bibikurizwaho amafaranga bita ATM machine hamwe n’imikorere ya konti igendanwa.
221	Nyirabashingire avuga ko ari umubyeyi w’abana batatu ariko babiri muri bo akaba yarabasize iwabo agahitamo kuzana umwana muto we ukiri ku ibere atabasha kugira undi amusigira.
222	Yagize ati mbere bigitangira gushingwa abaturage babanje kubishidikanyaho, ariko ubu byarahindutse kubera imbaraga n’ubushake abayobozi mu nzego zinyuranye bashyize muri ibyo bigo by’imari.
223	Umuyobozi mukuru wa COGEAR, Alain Kabeja, avuga ko iyi gahunda yo gushinga sosiyete nshyashya y’ubwishingizi yigenga igamije gushyira mu bikorwa ibyo basabwe na banki nkuru y’igihugu.
224	Umushahara wacu ni mutoya, tukagira n’ikibazo cyuko twajyaga kwaka inguzanyo mu mabanki bakatugora, bakatwaka n’inyungu ziruhije, noneho waba ukeneye udufaranga two gukemura utubazo twihutirwa bikagorana kuyabona.
225	Yagize ati kuzigama ni ingenzi mu buzima bw’umuntu kuko hari igihe ibyo umuntu akora azaba atabikora.
226	Ikigo cy’igihugu gishinzwe ubuzima Rwanda Biomedical Center RBC kivuga ko nubwo gahunda yo gukwirakwiza udukingirizo mu mashuri yisumbuye igifite ingorane zo kutumvikanwaho bitazatuma iyi gahunda idashoboka.
227	Ibi bituma abaganga batabona umwanya wo kwihugura akaba ari nayo mpamvu batagendana n’ubumenyi bugezweho.
228	Muri bo, abagera kuri miliyoni 120 bakaba abarwara inzoka ya tirikomunase Trichomonase.
229	akaba yanakanguriya abaturage kwongera imbaraga mukwitabira gahunda z’ubuzima zirimo ubwisungane mukwivuza mutuelle de sant, kurwanya Maralia, kwitabira kubyarira kwa muganga.
230	Bigatuma umugore ahora asohora imyanda twakwita ko iba yayobye kuko inyura mu nkondo y’umura igasohokera mu gitsina nta rutangira ari na yo mpamvu bayita Kujojoba.
231	Ubushakashatsi buherutse gukorwa n’iri shami bugaragaza ko abagira iri hungabana bagaragaza ibimenyetso byerekana ko Jenoside yongeye kuba, bityo bakibona basubiye mu byo baciyemo.
232	Umurwayi wayo agaragaza ibimenyetso bikurikiranye kandi ikaba ishobora kwigaragaza bitewe n’ubwoko bwayo kuko igira amoko menshi.
233	Itsinda ry’indaya z’Hari bagenzi bacu bageraho bakemera gukora imibonano mpuzabitsina nta gakingirizo kubera ko ategereza umwanya munini umukiriya wemera agakingirizo akamubura kandi yenda abana baburaye.
234	Iki kibazo kigaragara cyane kubagenzi,abatwara ibinyabiziga bo ngo ntibahura nacyo impamvu nta yindi ni uko ari ikizira kuba utwara yarangarira ahandi hatari aho ari kwerekeza.
235	Iyi gahunda nshya y’ubwisungane mukwivuza izateza imbere kubungabunga ubuzima bw’abanyarwanda bityo bagire ubuzima bwiza,bateze imbere imiryango yabo kandi n’ubukungu bw’igihugu buhazamukire.
236	Ikigega Global Fund gitera inkunga u Rwanda muri gahunda zitandukanye z’ubuzima zirimo kurwanya SIDA, Igituntu na Maralia.
237	Muzungu avuga ko nubwo bigaragara ko umusanzu w’abanyeshuri utangana na serivisi bahabwa ntabwo umusanzu basabwa wiyongereye.
238	Umunyamabanga Nsingwabikorwa w’aka hagari, Vestine Nyirahabimana avuga ko akagari ke gakabije kugira ibyaha bikomoka ku bucuruzi bw’ibiyobyabwenge kuko abenshi basa n’ababikora ku mugaragaro ntacyo bikanga.
239	Yatangiye gukora uburaya afite imyaka 12, ku myaka 15 niho yabyaye umwana wa mbere.
240	Yongeraho ko ibi bihuru bishobora kuba indiri y’imibu ishobora kurya abantu ikabanduza Malariya.
241	Bityo rero isuku ntireba bamwe ngo abandi babe ba bize ngarame cyangwa ba ntibindeba, ahubwo ubufatanye ni ingenzi mu kugira isuku ngo amagara abungabungwe hirindwa indwara.
242	Ubu bushakashatsi bwashyizwe ahagaragara kuri uyu wa kane bwatangiye gukorwa mu mwaka w’2009.
243	Yasize abwiye iwabo ko agiye asize amafaranga na telephone ko ari bugaruke.
244	Yagize ati dufatanyije n’inzego z’umutekano twamuguye gitumo, dusanga yatangiye guteka ariko inzoga itaraboneka.
245	Mbere y’uko yiyahura yari ari mu gasantere ka Cyanika ari kunywa inzoga ndetse ngo ari kumwe n’umugore batashakanye.
246	Rutembesa yageze muri urwo rugo atangira gushyamirana n’umugabo wa Mukaminega witwa Minani Jean de Dieu.
247	Polisi yamufashe nyuma yo guhabwa amakuru ko uyu musore ashobora kuba ahinga urumogi mu bishyimbo.
248	Habineza yafatanwe ijerekani ya kanyanga yari arimo ateka hamwe n’ibikoresho akoresha mu kuyiteka birimo ingunguru n’ibindi.
249	Kugeza ubu mu murenge wa Kamabuye harabarurwa inka zigera kuri 25 z’abantu batanu zibwe mu gihe cy’amazi atatu.
250	Ikindi police yemeza nuko uyu musore yishwe anizwe kandi abamwishe bakaba bamuteye icyuma.
251	Avuga ko kutababarira icyaha cya ruswa na gato ari ingenzi muri urwo rugamba.
252	Twizerimana Jean Pierre acumbikiwe kuri sitasiyo ya polisi ya Kora mu murenge wa Jenda mu Karere ka Nyabihu.
253	Niyonzima Justin ni umwe mu batuye muri ako gace.
254	Umuyobozi w’umurenge yagize ati Ni ahantu hari hasanzwe hari agasoko gato k’amazi ariko abana bari basanzwe bahakinira bidumbuza nyine mu mazi bisanzwe.
255	Gasigwa avuga ko urumogi rugaragara muri aka gace kabo rukunze guturuka mu Gasarenda hafi y’ishyamba rya Nyungwe.
256	Aba bazajya barara irondo bakaba bazajya bagenerwa n’amatoroshi azajya abafasha mu kazi kabo ndetse hakaziyongeraho na telefone y’irondo izajya ibafasha gutumanaho igihe habaye ikibazo.
257	Bambwe mu baturage bahuye n’iki kibazo, bemezako izi mbwa zituruka mu mashyamba doreko zirirwa zizerezera.
258	Avuga ko amaze kuza mu Rwanda inshuro icumi kandi ko buri gihe iyo aje yumva yisanga nk’ugiye iwabo.
259	Mu kiganiro n’amabanyamakuru, Nyandwi yatangaje ko yemera icyaha yakoze akanagisabira imbabazi kandi ko ingeso y’ubujura atari ayisanganwe.
260	Muri iki kiciro hasenywe ibisasu bikoreshwa mu mbunda ziringaniye.
261	Yagize ati Sekamana niwe wahamagaye Nzabakorana Zacharie yiyita umupolisi ukorera i Nyamata kugirango tubashe kumubona tumwice maze araza turamwica.
262	Mu bindi byahungabanyije umutekano harimo ubugizi bya nabi byahitanye umwana w’umukobwa w’imfubyi wo mu Murenge wa Gakenke basanze yapfuye mugitondo.
263	Icyakora ariko Karemera yababwiye ko icyihutirwa kurusha ibindi ari ukugira ubushake bwo gufatanya n’ubuyobozi bw’Akarere mu guhangana n’ibikorwa bibahungabanyiriza umutekano.
264	Bwana Safali Wilson watanze ikiganiro ku mateka y’u Rwanda muri ayo mahugurwa yasobanuriye abitariye ayo amahugurwa imvano y’amateka yateye Jenoside yakorewe Abatutsi muri 1994.
265	Umuvugizi w’ingabo z’u Rwanda avuga ko aba basirikare bari mubikorwa by’irondo baza kugwa mugico cy’inyeshyamba na n’ubu zitari zamenyekana.
266	Twizerimana Jean Pierre acumbikiwe kuri sitasiyo ya polisi ya Kora mu murenge wa Jenda mu Karere ka Nyabihu.
267	Intumwa yihariye y’munyamabanga wa LONI muri Kongo, madamu Mary Robinson aravuga ko ubu hakwiye kwitabazwa inzira y’ibiganiro bizana amahoro arambye aho gushakira ibisubizo mu rugamba rw’amasasu.
268	Izi ngabo ibihumbi bibiri na 500 zizatangwa n’ibihugu bihuriye mu kanama mpuzamahanga k’ibiyaga bigari ICGLR hamwe n’umuryango w’iterambere rya Afurika y’amajyepfo SADEC.
269	Ubwo yafunguraga ku mugaragaro aya mahugurwa abereye ku nshuro ya mbere ku mugabane w’Afurika, Umugaba mukuru w’ingabo z’u Rwanda Lt.
270	Muzafatanye n’abandi mutanga serivisi nziza kandi mwihesha agaciro mu gihe mugarura amahoro ahandi ku isi.
271	Kuva aho batangiye kumisha amasasu muri ako gace byateye umutekano muke mu baturage bituma bamwe muri bo bava mu byabo bahunga bakiza magara yabo.
272	Uwo muyobozi avuga ko bahangayikishijwe n’abantu bakiri batoya bagera ku 16 batwawe na FDLR na n’ubu bakaba batazi irengero ryabo.
273	Imirwano yadutse mu duce twa Bunje, Brazza, Chambombo na Mpanama ubwo abarwanyi ba Raia Mutomboki bateraga bavuye gace ka Walikale muri Kivu y’Amajyaruguru.
274	Iyo miryango ivuga ko ifite impungenge z’uko imirwano ishingiye ku moko igiye kubura muri ako gace, igasaba Leta ya Kongo kohereza vuba ingabo z’igihugu kugira ngo zicunge umutekano w’abenegihugu.
275	Kuwa mbere tariki 11062012 umunsi wose abahunga ibitero bya FDLR babarirwa mu miryango 600 bari buzuye mu mihanda y’i Minova nk’uko byatangajwe na Radio Okapi.
276	Ibyo byatumye abaturage bahunga ingo zabo berekeza mu gace ka Busurungi.
277	Umukuru w’abaturage bo mu ubwoko ba Waloa Loanda, umwami Kiroba Bulenezi atangaza ko umubare w’abahitanwe n’icyo gitero ushobora kwiyongera kuko abaturage bakomerekejwe cyane n’imihoro n’imbunda byakoreshejwe na FDLR.
278	Perezida wa sosiyete sivile muri Lubero avuga ko ababajwe n’uko ingabo za Kongo zitari muri ako gace, agasaba ko zongera kuhagaruka kugira ngo abaturage bagire umutekano n’ituze.
279	Ugiye kujyaho ku mpamvu z’umutekano no kurwanya amakimbirane mu karere kacu tukaba duhamagarira ibihugu byose kubigiramo uruhare.
280	Mu nkambi yabaturage bavanywe mu byabo yitwa Abushouk iri mu karere ka EL Fasher naho haratashywe ibyumba 10 byubatswe n’Ingabo z’u Rwanda zigize Batayo y’i 157.
281	Avuga ko bamaze kumukubita bamutaye ku nzira akaza gutoragurwa na Polisi ya Uganda, ikamujyana kwa muganga aho yapfiriye kuwa Gatatu ushize.
282	Ingabo za Leta ya Congo nazo zaje kugaba ibitero kuri izo nyeshyamba ari nabyo byatumye abaturage bava mu byabo.
283	Amakuru dukesha urubuga rwa polisi y’igihugu, avuga ko Umukuru wa Polisi y’igihugu IGP Emmanuel K.
284	Aba bagabo bavuga ko ibi abagore baba babiterwa no kudasobanukirwa neza gahunda y’uburinganire, aho bo baba bumva ko ari ukubashyira hejuru y’abagabo.
285	Mbusa Pengela ni umukozi w’umwe mu miryango itegamiye kuri Leta muri Kivu y’amajyaruguru.
286	Aba baturage bakaba bashinja ingabo z’igihugu cyabo ko zibatererana bikabije kuburyo babona ko nta muntu wita ku mutekano w’abaturage.
287	Nyuma yo guhangana n’icyo gitero cy’abantu batabashije kumenyekana, abasirikare babiri bo mu Ngabo z’u Rwanda barahaguye, hakomereka abandi bane.
288	Biragaragara ko Rayon Sport uyu mwaka ihagaze neza ariko kuba naragarutse muri APR, mbona nzafasha cyane mu gushaka intsinzi.
289	Twaganiriye n’inzobere mu bwubatsi bwa za Stade, batubwira ko kuvugurura Stade Amahoro hongerwa ubunini bwayo bigoye cyane ku buryo igihe n’amafaranga byatwara byenda kungana n’ibyagenda mu kubaka stade nshya.
290	Reka ikipe tube tuyirekeye abayifite cyane ko banaherutse gutsinda Benin ndetse binahe n’amahirwe abarimo kuyitoza ubu, dore ko bamwe ari n’aba kandida bashaka kuzatoza iyi kipe, nabo bigaragaze.
291	Twamuzanye tumushakaho intsinzi ariko siko byagenze, ikindi kandi wasangaga azana umwuka mubi mu ikipe, akanasuzugura abo bakorana.
292	Ayo makipe 10 azaba yasigaye azatomborana uko azahura abiri abiri hagati yayo mu mukino ubanza n’uwo kwishyura, amakipe atanu atsinze azabe ari yo yerekeza mu gikombe cy’isi muri Brazil.
293	Jean Marie Ntagwabira, umutoza wa Rayon sport avuga ko abonye Bokota na Mafisango byafasha iyi ikipe kuko bose azi ubuhanga bwabo.
294	Iyi mikino yabayemo gutungurana ku makipe amwe namwe aho nka Proline Academy ikomeye muri Uganda nayo yari yitabiriye iyi mikino iza kuvamo ku ikubitiro.
295	Ibi ikaba yabigezeho kuri icyi cyumweru ibikesha ibitego by’abasore bahagaze neza muri iyi minsi Olivier Karekezi kapiteni w’iyi kipe n’umunya Uganda Dan Wagaluka.
296	Bitwe n’uko icyi cyemezo cyatunguye amwe mu makipe azaturukamo aba bakinnyi byatumye Ferwafa itanga uburenganzira kuri aya makipe ngo bashake abakinnyi bo kuziba icyo cyuho.
297	Muri iri tsinda ryarimo andi makipe abiri u Burundi na Ivory Coast.
298	Muri iri tsinda ririmo andi makipe abiri u Burundi na Ivory Coast.
299	Mu guhatanira umwanya wa gatatu APR BBC yatsinze CSK amanota 84-60, naho mu rwego rw’abagore APR BBC ni yo yegukanye igikombe itsinze Kaminuza y’u Rwanda.
300	Undi mukino wa cy’irangiza ugomba guhuza APR BBC na Kigali Basketball Club KBC, aho ikipe itsinda izakina na Espoir BBC ku mukino wa nyuma.
301	Mutabazi yagize ati, Mu nama twakoze twagarutse cyane ku mategeko agenga abakinnyi b’abanyamahanga mu Rwanda.
302	Maroc yo yabashije gutsinda u Rwanda, inatsinda Gabon bituma yegukana umwanya wa 9, Gabon ifata umwanya wa 10 naho u Rwanda rufata uwa 11.
303	Nyuma yo kubona iyo tike, iyi kipe yahise isubira mu mwiherero kuva tariki 2672012 nk’uko byanifujwe n’Ubuyobozi bw’ishyirahamwe ry’umukino wa Basketball mu Rwanda FERWABA.
304	Ikipe y’u Rwanda yagaragaje ubuhanga n’imbaraga, yashimishije abafana bayo bari benshi, maze agace ka mbere k’umukino karangira ku manota 20 kuri 11 ya Kenya.
305	Iyi mikino igamije gushaka itike yo kuzajya mu mikino y’igikombe cya Afurika cy’abatarengeje imyaka 18 kizabera muri Mozambique mu bahungu no muri Senegal mu bakobwa.
